Name,Value,Race,Index,Winner,Role,Film
Debra Winger,1993,White,4,Non-Winner,Joy Davidman,Shadowlands
Jessica Lange,1994,White,1,Winner,Carly Marshall,Blue Sky
Jodie Foster,1994,White,2,Non-Winner,Nell Kellty,Nell
Miranda Richardson,1994,White,3,Non-Winner,Vivienne HaighWood,Tom Viv
Winona Ryder,1994,White,4,Non-Winner,Josephine Jo March,Little Women
Susan Sarandon,1994,White,5,Non-Winner,Regina Reggie Love,The Client
Susan Sarandon,1995,White,1,Winner,Helen Prejean,Dead Man Walking
Elisabeth Shue,1995,White,2,Non-Winner,Sera,Leaving Las Vegas
Sharon Stone,1995,White,3,Non-Winner,Ginger McKenna,Casino
Meryl Streep,1995,White,4,Non-Winner,Francesca Johnson,The Bridges of Madison County
Emma Thompson,1995,White,5,Non-Winner,Elinor Dashwood,Sense and Sensibility
Frances McDormand,1996,White,1,Winner,Marge Gunderson,Fargo
Brenda Blethyn,1996,White,2,Non-Winner,Cynthia Rose Purley,Secrets Lies
Diane Keaton,1996,White,3,Non-Winner,Bessie Wakefield,Marvins Room
Kristin Scott Thomas,1996,White,4,Non-Winner,Katharine Clifton,The English Patient
Emily Watson,1996,White,5,Non-Winner,Bess McNeill,Breaking the Waves
Helen Hunt,1997,White,1,Winner,Carol Connelly,As Good as It Gets
Helena Bonham Carter,1997,White,2,Non-Winner,Kate Croy,The Wings of the Dove
Julie Christie,1997,White,3,Non-Winner,Phyllis Hart,Afterglow
Judi Dench,1997,White,4,Non-Winner,Queen Victoria,Mrs Brown
Kate Winslet,1997,White,5,Non-Winner,Rose DeWitt Bukater,Titanic
Fernanda Montenegro,1998,Non-White,1,Non-Winner,Isadora Dora Teixeira,Central Station
Gwyneth Paltrow,1998,White,1,Winner,Viola de Lesseps Thomas Kent,Shakespeare in Love
